 DXCUMQB3,20180202,17:28:32,ANDREWJ ,00000606,      ,20180202,000606,01.00.00,ANDREWJ.SOURCE.ASM,
 TMPUMQB3,20180202,17:26:19,ANDREWJ ,00000606,      ,20180202,000606,01.00.00,ANDREWJ.SOURCE.ASM,
 USRTRIM ,20180202,13:41:16,ANDREWJ ,00000023,      ,20061103,000009,01.99.00,ANDREWJ.SOURCE.JCL,
 ASMDXC  ,20180131,16:46:46,ANDREWJ ,00000020,      ,20030424,000014,01.15.00,ANDREWJ.SOURCE.JCL,
 DXCUMQB1,20180131,14:38:36,ANDREWJ ,00000487,      ,20180131,000479,01.02.00,ANDREWJ.SOURCE.ASM,
 PDSDIRE ,20180123,17:35:00,ANDREWJ ,00000030,      ,20141003,000020,01.10.00,ANDREWJ.SOURCE.JCL,
 USRBKUP1,20180118,13:22:40,ANDREWJ ,00000010,      ,20180118,000012,01.01.00,ANDREWJ.SOURCE.JCL,
 USRSTATM,20180117,18:16:47,ANDREWJ ,00000025,      ,20180117,000025,01.00.00,ANDREWJ.SOURCE.JCL,
 DSKINPQ2,20180117,10:19:46,ANDREWJ ,00000025,      ,20070123,000018,01.02.00,ANDREWJ.SOURCE.JCL,
 RFID4IBM,20180112,16:36:07,ANDREWJ ,00000057,      ,20080718,000020,01.05.00,ANDREWJ.SOURCE.JCL,
 PDSDIRI ,20180108,11:20:19,ANDREWJ ,00000665,      ,20050311,000609,01.08.00,ANDREWJ.SOURCE.ASM,
 DELSEQF ,20180103,18:12:47,ANDREWJ ,00000048,      ,20140128,000048,01.06.00,ANDREWJ.SOURCE.EXEC,
 ZIPUSR  ,20180102,15:10:12,ANDREWJ ,00000019,      ,20030917,000034,01.34.00,ANDREWJ.SOURCE.JCL,
 USR1    ,20180102,15:09:59,ANDREWJ ,00000001,      ,20070102,000001,01.07.00,ANDREWJ.SOURCE.JCL,
 USRPARS ,20180102,15:07:16,ANDREWJ ,00000145,      ,20180102,000227,01.04.00,ANDREWJ.SOURCE.ASM,
 TCPIP   ,20171212,17:28:26,ANDREWJ ,00000286,      ,20171212,000286,01.00.00,ANDREWJ.SOURCE.JCL,
 RFID4THS,20171124,13:53:31,ANDREWJ ,00000033,      ,20080708,000031,01.02.00,ANDREWJ.SOURCE.JCL,
 RFID4OP ,20171124,13:26:52,ANDREWJ ,00000198,      ,20101014,000078,01.17.00,ANDREWJ.SOURCE.JCL,
 RFCMD   ,20171120,13:13:29,ANDREWJ ,00000006,      ,20171120,000006,01.00.00,ANDREWJ.SOURCE.JCL,
 RFADS   ,20171116,13:48:37,ANDREWJ ,00000008,      ,20040107,000009,01.05.00,ANDREWJ.SOURCE.JCL,
 IRRDBU00,20171116,13:13:10,ANDREWJ ,00000009,      ,20141210,000008,01.03.00,ANDREWJ.SOURCE.JCL,
 RFSTCALL,20171115,17:13:39,ANDREWJ ,00000008,      ,20171115,000008,01.00.00,ANDREWJ.SOURCE.JCL,
 IEBGENER,20171115,14:14:03,ANDREWJ ,00000008,      ,20030407,000006,01.07.00,ANDREWJ.SOURCE.JCL,
 PDSDIRE ,20171113,10:17:09,        ,00000E98,00211C,0:A31R24,      ,        ,ANDREWJ.SOURCE.LMD,
 PDSDIRE ,20171113,10:17:08,ANDREWJ ,00000744,      ,20170511,000724,01.02.00,ANDREWJ.SOURCE.ASM,
 LISTDSN ,20171113,10:16:22,ANDREWJ ,00000088,      ,20171109,000085,01.02.00,ANDREWJ.SOURCE.JCL,
 CHK0E0F ,20171110,15:51:59,ANDREWJ ,00000334,      ,20050204,000334,01.04.00,ANDREWJ.SOURCE.ASM,
 LISTDSNS,20171109,18:30:24,ANDREWJ ,00000246,      ,20050314,000209,01.08.00,ANDREWJ.SOURCE.EXEC,
 SNIFFER ,20171102,11:31:38,ANDREWJ ,00000020,      ,20110802,000020,01.02.00,ANDREWJ.SOURCE.JCL,
 DUMPRACF,20171020,16:02:46,ANDREWJ ,00000013,      ,20061214,000011,01.02.00,ANDREWJ.SOURCE.JCL,
 RFSTCRSD,20171020,15:59:30,ANDREWJ ,00000029,      ,20170915,000014,01.04.00,ANDREWJ.SOURCE.JCL,
 RFAUDIT ,20171012,10:12:49,ANDREWJ ,00000587,      ,20141222,000018,01.14.00,ANDREWJ.SOURCE.JCL,
 NETSTAT ,20170928,10:31:05,ANDREWJ ,00000019,      ,20170908,000007,01.05.00,ANDREWJ.SOURCE.JCL,
 RESTALM ,20170913,14:20:41,ANDREWJ ,00000011,      ,20170913,000011,01.00.00,ANDREWJ.SOURCE.JCL,
 DUMPTALM,20170913,14:11:07,ANDREWJ ,00000011,      ,20170505,000011,01.02.00,ANDREWJ.SOURCE.JCL,
 NETSTAT ,20170908,14:52:36,ANDREWJ ,00000026,      ,20170908,000026,01.01.00,ANDREWJ.SOURCE.EXEC,
 CSQX500I,20170823,15:27:56,ANDREWJ ,00000164,      ,20170823,000164,01.00.00,ANDREWJ.SOURCE.ASM,
 BKUPRMSP,20170717,18:21:09,ANDREWJ ,00000009,      ,20170717,000009,01.08.00,ANDREWJ.SOURCE.JCL,
 TERSE   ,20170717,15:36:42,ANDREWJ ,00000010,      ,20140213,000009,01.34.00,ANDREWJ.SOURCE.JCL,
 SEARCH  ,20170629,16:10:46,ANDREWJ ,00000008,      ,20030320,000010,01.73.00,ANDREWJ.SOURCE.JCL,
 DUMPAPPL,20170616,10:30:02,ANDREWJ ,00000015,      ,20170615,000011,01.01.00,ANDREWJ.SOURCE.JCL,
 DUMPIGY ,20170510,11:11:10,ANDREWJ ,00000011,      ,20170510,000011,01.00.00,ANDREWJ.SOURCE.JCL,
 $ACMQ531,20170510,10:14:25,ANDREWJ ,00000028,      ,20170510,000028,01.00.00,ANDREWJ.SOURCE.JCL,
